id;servicioId;tipo;origen;destino
3625;4651;Tren;Johnsonhaven;Lake Amyberg
2737;2283;Tren;Guerrerofort;Whitemouth
1935;2981;Taxi;Harpershire;East Jordan
7371;619;Taxi;Williamsburgh;North Brittanychester
7922;2776;Bus;Jamesborough;Lake Dwayne
4571;968;Tren;Allenside;Huntview
7623;3180;Barco;South Crystalland;Port Michael
7904;3316;Barco;Guerrerofort;South Norman
2376;1022;Taxi;Guerrerofort;North Brittanychester
5705;4314;Bus;Lake Alvin;East Jordan
1084;3295;Taxi;East John;Johnsonhaven
4116;3127;Taxi;East Jordan;Judithburgh
5133;4995;Taxi;Judithburgh;Johnsonhaven
8761;4906;Barco;West Barbara;New Stevenville
5866;4231;Taxi;Judithburgh;Morrisberg
536;4698;Bus;North Brittanychester;East Christopherstad
7568;1972;Taxi;East Stephenfurt;Whitemouth
4103;1185;Tren;Williamsburgh;East Hannahside
6784;2807;Tren;Williamsburgh;East Joelborough
9986;4045;Tren;Lake Alvin;Whitemouth
2825;2507;Taxi;New Angela;East John
6406;338;Taxi;East Christopherstad;Myerston
9780;4950;Bus;Lake Alvin;Williamsburgh
9272;2062;Tren;Lake Dwayne;Morrisberg
4198;4362;Taxi;South Kenneth;Porterstad
1895;2634;Tren;East Jordan;Lake Amyberg
201;1696;Bus;East Joelborough;Myerston
3524;2090;Tren;Lake Dianashire;East Jessicafurt
4706;3676;Barco;Harpershire;Guerrerofort
7625;3277;Tren;Johnsonhaven;Lake Alvin
8473;220;Taxi;North Jesse;South Norman
2056;2941;Taxi;Guerrerofort;East Christopherstad
9994;3196;Barco;Scottfurt;East John
6966;4614;Bus;Fosterhaven;East Christopherstad
6926;2069;Taxi;Lake Maria;Jamesborough
4789;2163;Tren;North Paulmouth;East Jordan
46;3490;Barco;New Angela;Lake Dianashire
9549;3699;Taxi;Rhodesmouth;New Stevenville
4440;2391;Taxi;Arroyoside;Lake Alvin
8576;3246;Tren;Jamesborough;Sanchezview
1006;2268;Taxi;Morrisberg;Sanchezview
9217;3709;Bus;Allenside;Johnsonhaven
3313;806;Taxi;Arroyoside;Myerston
7758;2794;Taxi;South Nicholastown;Bellland
3990;2792;Barco;East Stephenfurt;West Matthew
870;2592;Bus;Scottfurt;Lake Maria
4415;2832;Barco;Judithburgh;Harpershire
1539;986;Tren;Judithburgh;Judithburgh
4932;4410;Bus;East Christopherstad;Huntview
3530;1875;Barco;East Stephenfurt;Port Michael
145;3902;Taxi;Martinezbury;Porterstad
6023;4371;Bus;Whitemouth;Mccoybury
1271;4300;Taxi;Martinezbury;Lake Dwayne
6439;1624;Bus;Mccoybury;Fosterhaven
2143;3000;Barco;South Kenneth;Morrisberg
7302;554;Barco;West Barbara;West Matthew
7126;3099;Taxi;Judithburgh;Mccoybury
3409;940;Taxi;North Paulmouth;Lake Amyberg
546;537;Barco;South Nicholastown;North Jesse
7769;82;Barco;Johnsonhaven;Sanchezview
80;2069;Tren;Myerston;Jamesborough
1498;1537;Tren;Myerston;West Matthew
8387;4128;Barco;Morrisberg;South Nicholastown
4988;4474;Taxi;Porterstad;North Zacharyland
818;3594;Tren;Judithburgh;Porterstad
1926;2080;Bus;Fosterhaven;East Christopherstad
5417;510;Barco;Huntview;Lake Williamfort
9156;3630;Tren;East Jessicafurt;Bellland
5203;2397;Tren;Fosterhaven;East Stephenfurt
4406;3723;Barco;East John;Scottfurt
4290;3894;Taxi;Fosterhaven;East Joelborough
3476;1699;Barco;New Jennifer;Huntview
5472;2753;Bus;North Jesse;South Nicholastown
7022;3295;Taxi;Morrisberg;East Joelborough
8972;4796;Tren;New Danielberg;Jamesborough
9469;4970;Bus;Bellland;West Barbara
1158;87;Taxi;Fosterhaven;New Jennifer
8675;1997;Barco;South Norman;Bellland
8655;2896;Barco;Lake Amyberg;Allenside
4214;1207;Barco;North Paulmouth;Arroyoside
5992;1130;Bus;Judithburgh;North Zacharyland
820;281;Taxi;Lake Alvin;Lake Alvin
5908;945;Barco;North Paulmouth;Judithburgh
7847;1526;Tren;Judithburgh;East Hannahside
2945;4151;Tren;West Matthew;Morrisberg
9025;1028;Taxi;North Zacharyland;Scottfurt
7208;1583;Bus;West Matthew;New Stevenville
5303;4636;Bus;Sanchezview;Lake Williamfort
1371;3345;Barco;New Stevenville;Martinezbury
9756;4044;Tren;Lake Dwayne;West Matthew
7647;2792;Bus;Sanchezview;Huntview
9620;3455;Tren;Mccoybury;Harpershire
652;1034;Bus;Guerrerofort;South Crystalland
5194;3595;Bus;New Angela;Scottfurt
5387;406;Barco;Kathleenbury;Lake Alvin
7852;4608;Bus;South Norman;New Stevenville
8332;2689;Bus;Whitemouth;East Joelborough
1103;2466;Tren;Lake Amyberg;Mccoybury
2210;3605;Taxi;Rhodesmouth;Mccoybury
6978;3268;Taxi;South Norman;Fosterhaven
2958;2286;Bus;New Stevenville;Lake Alvin
1435;3083;Taxi;Whitemouth;Judithburgh
8447;3079;Tren;Lake Amyberg;Morrisberg
2601;3038;Taxi;Lake Williamfort;Scottfurt
9095;2458;Barco;South Crystalland;North Brittanychester
134;1665;Tren;North Brittanychester;Lake Amyberg
789;3906;Bus;New Jennifer;Lake Amyberg
1231;434;Tren;West Matthew;Mccoybury
3491;4076;Tren;Williamsburgh;Johnsonhaven
6750;1365;Taxi;East Joelborough;South Kenneth
7499;535;Tren;West Barbara;Lake Williamfort
5691;2755;Barco;Scottfurt;East Hannahside
9576;3787;Bus;East Joelborough;Lake Williamfort
592;1515;Barco;New Angela;Lake Dwayne
976;4457;Taxi;New Jennifer;East John
5525;4204;Taxi;New Stevenville;Huntview
4337;1560;Tren;North Zacharyland;East Nicolestad
7186;1979;Bus;Whitemouth;Mccoybury
3458;294;Bus;East John;New Jennifer
9791;872;Barco;South Crystalland;New Jennifer
6001;193;Bus;New Angela;Porterstad
8652;1964;Tren;East Jordan;New Danielberg
1586;2994;Barco;Johnsonhaven;Mccoybury
8958;2334;Barco;Johnsonhaven;Arroyoside
8460;1348;Barco;Jamesborough;Lake Maria
5284;2107;Taxi;East Jessicafurt;Porterstad
3704;4399;Bus;New Angela;North Jesse
9476;1403;Bus;Scottfurt;Mccoybury
8729;3014;Taxi;Lake Maria;Lake Amyberg
1849;1433;Barco;Morrisberg;East Joelborough
6167;497;Tren;North Paulmouth;Lake Dianashire
2286;4440;Bus;Lake Maria;Lake Amyberg
1970;2148;Barco;Myerston;Kathleenbury
8863;3040;Bus;East Hannahside;East Joelborough
2927;1441;Barco;Kathleenbury;Fosterhaven
8006;4653;Bus;Mccoybury;Martinezbury
5943;512;Barco;South Crystalland;North Zacharyland
1472;3070;Barco;Kathleenbury;East Christopherstad
2528;4811;Barco;North Brittanychester;South Nicholastown
8456;900;Bus;North Zacharyland;South Norman
7029;2506;Taxi;Lake Dianashire;Lake Williamfort
1660;3892;Tren;South Crystalland;South Kenneth
7023;3277;Tren;South Kenneth;South Kenneth
6870;4675;Bus;Bellland;North Zacharyland
3923;2291;Taxi;Lake Maria;Lake Dianashire
9706;4552;Tren;Lake Dwayne;North Paulmouth
3348;3340;Bus;South Norman;New Danielberg
2729;2962;Tren;North Brittanychester;East Nicolestad
4009;70;Bus;North Paulmouth;Arroyoside
6115;414;Tren;Guerrerofort;Allenside
1239;1732;Taxi;Myerston;Judithburgh
9887;860;Barco;Lake Amyberg;Harpershire
5249;2691;Bus;Porterstad;New Angela
2241;3486;Taxi;Porterstad;New Danielberg
3545;4300;Tren;Fosterhaven;Lake Williamfort
6333;2095;Barco;West Matthew;South Nicholastown
3895;3645;Tren;North Paulmouth;Lake Dwayne
1744;1583;Bus;North Jesse;Johnsonhaven
9451;2445;Tren;New Danielberg;Harpershire
1083;2096;Barco;Guerrerofort;North Brittanychester
1594;3588;Tren;South Norman;New Angela
3201;4324;Bus;Lake Dianashire;East Hannahside
8296;1956;Barco;East Joelborough;Martinezbury
4178;1790;Barco;Rhodesmouth;East John
3260;1485;Tren;East Jessicafurt;South Norman
3691;292;Taxi;North Paulmouth;South Nicholastown
6383;3268;Tren;North Paulmouth;Lake Williamfort
3535;2484;Taxi;West Matthew;Guerrerofort
8719;1185;Barco;East Jessicafurt;Mccoybury
9435;1964;Tren;New Stevenville;North Jesse
2287;3699;Tren;Lake Alvin;New Stevenville
4155;170;Tren;Guerrerofort;West Barbara
4677;1964;Tren;East Jordan;South Kenneth
369;2174;Tren;Guerrerofort;Myerston
8753;4176;Taxi;East Stephenfurt;East Joelborough
3044;3450;Taxi;South Crystalland;East Jordan
9725;4942;Tren;Huntview;Williamsburgh
1709;4772;Taxi;Judithburgh;South Norman
5444;4314;Tren;East Jessicafurt;Bellland
6436;3042;Taxi;Bellland;Bellland
5461;1751;Barco;Port Michael;Martinezbury
7768;1715;Barco;Lake Maria;South Crystalland
9014;1117;Tren;Bellland;Porterstad
6735;2475;Bus;Lake Alvin;North Jesse
6154;3319;Tren;Lake Alvin;North Zacharyland
1479;77;Barco;Lake Maria;Bellland
7639;170;Bus;Lake Dwayne;Lake Maria
6361;1695;Tren;South Crystalland;Mccoybury
2371;3906;Tren;East Nicolestad;Harpershire
1051;2877;Barco;North Jesse;Rhodesmouth
4978;3580;Taxi;Morrisberg;Huntview
6918;3326;Taxi;South Kenneth;Sanchezview
6110;2687;Bus;Sanchezview;New Angela
2339;748;Bus;Sanchezview;West Barbara
9004;3059;Bus;New Angela;Lake Dwayne
3405;1757;Barco;Scottfurt;Kathleenbury
4909;3177;Barco;Scottfurt;New Jennifer
6630;1625;Bus;Judithburgh;Lake Dwayne
1596;3676;Tren;Guerrerofort;New Jennifer
1130;3588;Barco;Mccoybury;North Paulmouth
4637;2478;Taxi;Harpershire;South Nicholastown
1425;3471;Tren;East Jordan;Johnsonhaven
1104;510;Bus;Allenside;South Crystalland
6820;3368;Taxi;Scottfurt;East John
7676;3911;Tren;East Nicolestad;Lake Alvin
6675;3830;Taxi;West Matthew;New Jennifer
8317;4653;Barco;Mccoybury;New Danielberg
3474;2073;Bus;East Hannahside;Mccoybury
225;1863;Barco;Porterstad;East Nicolestad
8119;3929;Tren;New Angela;New Angela
4228;547;Barco;East John;New Danielberg
5934;2466;Taxi;Harpershire;East Joelborough
9788;3268;Bus;South Crystalland;New Danielberg
2856;3130;Barco;Johnsonhaven;Porterstad
1347;347;Taxi;South Crystalland;Porterstad
9127;1028;Tren;North Jesse;Jamesborough
6287;1930;Bus;Arroyoside;New Danielberg
3606;1516;Tren;Lake Dianashire;New Stevenville
6564;1755;Barco;Lake Alvin;Rhodesmouth
7445;2268;Tren;New Stevenville;Lake Alvin
5779;3787;Barco;West Matthew;Rhodesmouth
5876;3054;Tren;North Zacharyland;Bellland
3578;2163;Tren;East Nicolestad;East John
3042;462;Barco;Huntview;Fosterhaven
8621;4396;Taxi;South Norman;Lake Dianashire
2430;2440;Taxi;East Jessicafurt;Lake Alvin
2751;471;Tren;Huntview;North Brittanychester
8404;4128;Taxi;Williamsburgh;Arroyoside
7773;2592;Taxi;Lake Alvin;Kathleenbury
8847;407;Barco;West Matthew;South Kenneth
9693;3645;Barco;New Stevenville;East Christopherstad
3188;1477;Tren;New Danielberg;Sanchezview
1991;26;Taxi;Rhodesmouth;Mccoybury
6785;3695;Barco;New Angela;Rhodesmouth
2489;2629;Bus;North Jesse;Allenside
8112;510;Tren;Kathleenbury;New Danielberg
7279;57;Bus;Myerston;West Barbara
715;1477;Bus;New Danielberg;East Christopherstad
6070;246;Tren;Rhodesmouth;Whitemouth
4216;2674;Barco;West Matthew;Lake Williamfort
9771;1983;Tren;Fosterhaven;Kathleenbury
4628;2027;Bus;South Kenneth;Myerston
5966;3647;Taxi;South Kenneth;Fosterhaven
2843;1583;Bus;Mccoybury;East Jessicafurt
9037;3326;Barco;Harpershire;South Norman
1321;1863;Tren;Harpershire;Allenside
3542;565;Barco;Bellland;West Barbara
4234;4623;Barco;Lake Amyberg;Allenside
5836;3533;Barco;Porterstad;Harpershire
9614;777;Bus;South Kenneth;East John
3921;4396;Bus;New Stevenville;Kathleenbury
7684;1236;Tren;East Jessicafurt;Johnsonhaven
5326;3989;Bus;East Hannahside;Huntview
935;4027;Barco;New Stevenville;New Stevenville
3639;1769;Taxi;East Christopherstad;New Jennifer
9577;289;Tren;East Joelborough;East Christopherstad
6285;4608;Bus;Mccoybury;East Nicolestad
7397;2073;Tren;Lake Amyberg;East John
435;860;Taxi;Fosterhaven;New Jennifer
901;4569;Bus;Rhodesmouth;South Crystalland
2007;4386;Barco;North Zacharyland;Whitemouth
7071;1696;Bus;Lake Dwayne;South Kenneth
1515;2855;Tren;North Brittanychester;Morrisberg
864;3835;Barco;Sanchezview;Lake Alvin
1411;2054;Barco;East Christopherstad;East Hannahside
8303;3169;Bus;East John;Lake Alvin
8567;1531;Bus;South Kenneth;Lake Dwayne
2236;2163;Bus;East Jessicafurt;East Jordan
7885;3425;Taxi;North Paulmouth;New Danielberg
5327;1458;Barco;East Joelborough;South Kenneth
2986;2165;Tren;Lake Amyberg;Judithburgh
1529;2231;Taxi;East Stephenfurt;Myerston
5842;1;Tren;Huntview;East Jessicafurt
1584;292;Barco;Fosterhaven;South Crystalland
9107;1568;Bus;Allenside;Scottfurt
6546;4976;Taxi;East Stephenfurt;Morrisberg
8459;780;Tren;Allenside;Porterstad
6032;2100;Bus;East Joelborough;East Jordan
5710;3387;Tren;Lake Alvin;Martinezbury
4700;1290;Tren;Bellland;Morrisberg
4471;3710;Taxi;Bellland;Arroyoside
6130;462;Barco;New Danielberg;Port Michael
4192;3559;Bus;Judithburgh;East Stephenfurt
7593;4186;Tren;East Stephenfurt;Huntview
5259;2662;Taxi;Morrisberg;Bellland
7956;4992;Taxi;Rhodesmouth;East Joelborough
100;3615;Taxi;Lake Dwayne;Guerrerofort
3145;2165;Taxi;East Stephenfurt;Lake Amyberg
4991;82;Bus;North Jesse;East John
1711;4044;Bus;North Jesse;Guerrerofort
9695;3588;Tren;Johnsonhaven;Williamsburgh
9373;3277;Taxi;Harpershire;Martinezbury
3791;1769;Barco;New Stevenville;Lake Williamfort
2154;1236;Tren;North Brittanychester;East Stephenfurt
4053;2463;Barco;Lake Alvin;East Joelborough
5822;1475;Tren;Lake Dwayne;Porterstad
3421;1755;Tren;Lake Williamfort;Kathleenbury
5941;2662;Bus;Martinezbury;Judithburgh
4888;1362;Bus;Bellland;New Stevenville
6977;2286;Bus;South Norman;Porterstad
2187;3605;Taxi;Arroyoside;East Nicolestad
9931;4543;Tren;Allenside;South Norman
1127;4489;Barco;East Jordan;East Joelborough
33;4219;Bus;North Paulmouth;Morrisberg
9267;3877;Bus;East Christopherstad;Lake Alvin
5757;3787;Taxi;West Matthew;North Jesse
7065;1267;Taxi;Jamesborough;Scottfurt
7984;2275;Tren;South Norman;Morrisberg
6809;3586;Barco;Williamsburgh;Port Michael
8053;4841;Bus;Fosterhaven;New Jennifer
6620;2848;Tren;Port Michael;Allenside
1409;2812;Taxi;Lake Dianashire;Lake Dianashire
265;1825;Bus;Whitemouth;North Paulmouth
9472;1187;Tren;South Norman;Judithburgh
5925;3635;Barco;West Barbara;North Brittanychester
567;4163;Bus;Fosterhaven;Allenside
6535;3929;Bus;Lake Alvin;East Nicolestad
4943;1130;Bus;Guerrerofort;North Zacharyland
8148;4623;Barco;New Danielberg;Judithburgh
3828;989;Taxi;East Jordan;East Christopherstad
4065;4714;Tren;Lake Maria;Harpershire
3799;4919;Taxi;New Danielberg;East Hannahside
2667;2670;Taxi;East Nicolestad;East John
563;4804;Bus;Sanchezview;West Matthew
4382;3852;Bus;West Matthew;Lake Alvin
3703;678;Tren;East Stephenfurt;North Brittanychester
481;580;Bus;East Stephenfurt;East Nicolestad
8308;3387;Barco;East Joelborough;South Nicholastown
6514;59;Taxi;New Jennifer;Whitemouth
157;1160;Bus;New Stevenville;East Jordan
6016;1381;Barco;East Jessicafurt;Lake Dianashire
5103;4031;Taxi;South Crystalland;Morrisberg
7478;1477;Barco;East Nicolestad;East John
5747;4474;Taxi;East Christopherstad;Lake Dianashire
7164;77;Tren;Porterstad;South Norman
9339;1077;Taxi;New Jennifer;North Brittanychester
9230;3012;Tren;Jamesborough;Sanchezview
6910;1550;Taxi;Port Michael;New Stevenville
7082;3122;Tren;North Zacharyland;West Matthew
1011;2773;Tren;Arroyoside;Lake Dianashire
9206;2408;Taxi;East Jordan;Myerston
8693;4788;Bus;East John;East Joelborough
4145;2451;Barco;North Paulmouth;Allenside
9621;1504;Taxi;New Stevenville;South Norman
5141;28;Taxi;South Crystalland;East John
9174;682;Bus;New Angela;North Brittanychester
1720;3257;Tren;New Angela;New Jennifer
5188;4685;Taxi;Johnsonhaven;Guerrerofort
7500;3009;Taxi;East Jordan;West Barbara
7236;2922;Tren;North Paulmouth;East Jessicafurt
2792;844;Taxi;South Norman;New Angela
5377;1836;Barco;Martinezbury;Scottfurt
7211;3048;Barco;Allenside;New Stevenville
7717;442;Bus;Whitemouth;Bellland
3960;1593;Taxi;Mccoybury;North Zacharyland
6139;4263;Bus;Allenside;Sanchezview
1535;4052;Barco;Myerston;Jamesborough
9767;1035;Tren;Myerston;South Nicholastown
3446;1441;Taxi;Jamesborough;Huntview
358;1132;Taxi;North Brittanychester;East Christopherstad
1461;4075;Barco;Lake Williamfort;North Brittanychester
9442;1477;Taxi;Porterstad;Jamesborough
3959;2041;Bus;Morrisberg;Jamesborough
8590;907;Bus;East Jessicafurt;North Paulmouth
8230;3376;Bus;Guerrerofort;New Jennifer
5937;3122;Barco;Sanchezview;North Zacharyland
5549;1138;Tren;Lake Alvin;Huntview
3768;2629;Taxi;East Christopherstad;Myerston
4651;750;Tren;Williamsburgh;Sanchezview
5884;3158;Barco;Port Michael;Myerston
9284;3105;Barco;East Stephenfurt;Fosterhaven
6166;3578;Barco;North Zacharyland;Mccoybury
6496;4986;Bus;West Barbara;Guerrerofort
3636;4402;Bus;East Hannahside;Arroyoside
9417;1187;Tren;East Jordan;Port Michael
9759;1997;Bus;New Jennifer;New Jennifer
2170;2797;Taxi;South Crystalland;North Brittanychester
1649;2566;Barco;East Nicolestad;South Crystalland
8534;560;Barco;Lake Dwayne;Arroyoside
9675;1184;Taxi;East Hannahside;North Paulmouth
5560;1081;Bus;Whitemouth;East Jessicafurt
1879;1516;Tren;Johnsonhaven;Jamesborough
5065;2172;Tren;South Crystalland;Mccoybury
5892;3681;Barco;Jamesborough;Whitemouth
6786;246;Bus;Scottfurt;North Paulmouth
5002;4362;Barco;Lake Dianashire;East Hannahside
2788;4393;Bus;New Stevenville;Whitemouth
6415;2773;Bus;West Matthew;Lake Dwayne
2863;3767;Bus;Morrisberg;Porterstad
6613;2445;Taxi;Williamsburgh;Morrisberg
7485;2149;Tren;Lake Alvin;Huntview
4686;847;Taxi;Sanchezview;South Norman
5456;2150;Barco;Lake Dianashire;North Zacharyland
4550;3758;Barco;North Zacharyland;New Jennifer
43;872;Tren;North Zacharyland;North Brittanychester
9843;4126;Barco;Arroyoside;South Kenneth
2765;3130;Barco;Arroyoside;East Nicolestad
8506;4232;Tren;Whitemouth;East Hannahside
2288;1290;Barco;Lake Williamfort;South Norman
7222;1160;Bus;Lake Dwayne;Harpershire
7166;406;Tren;Lake Alvin;East Hannahside
1417;497;Bus;South Crystalland;South Nicholastown
2044;4386;Barco;East Joelborough;Lake Dwayne
3697;3376;Bus;Allenside;Mccoybury
6961;1360;Tren;New Angela;Porterstad
1198;4207;Bus;Jamesborough;Lake Maria
6959;2283;Tren;North Brittanychester;Mccoybury
8533;3894;Barco;Mccoybury;Bellland
5931;3009;Bus;South Norman;East Hannahside
4520;1820;Taxi;Kathleenbury;Port Michael
835;1073;Bus;Jamesborough;East Hannahside
3403;1227;Taxi;Lake Dianashire;Lake Williamfort
8546;3328;Bus;Whitemouth;Bellland
6670;3268;Taxi;Sanchezview;Guerrerofort
7869;1784;Tren;North Brittanychester;Allenside
6894;3593;Taxi;New Jennifer;Morrisberg
3265;3594;Barco;Harpershire;Lake Williamfort
2493;251;Bus;South Crystalland;Mccoybury
3317;1077;Bus;Rhodesmouth;East Hannahside
2192;386;Taxi;Fosterhaven;East John
1961;1646;Bus;Jamesborough;Morrisberg
7796;4493;Taxi;West Barbara;Lake Amyberg
6156;1646;Barco;Lake Amyberg;East Jordan
9220;121;Tren;South Nicholastown;Allenside
8491;1866;Bus;Whitemouth;East John
918;577;Tren;East Nicolestad;South Kenneth
4718;281;Barco;Porterstad;Bellland
5074;2115;Barco;Porterstad;East Christopherstad
9436;2691;Barco;Lake Alvin;Judithburgh
3337;4092;Taxi;Johnsonhaven;South Kenneth
169;4360;Bus;New Stevenville;Kathleenbury
3824;2742;Barco;Fosterhaven;Rhodesmouth
6229;2288;Taxi;East Jessicafurt;South Nicholastown
2321;1842;Barco;East Hannahside;Mccoybury
6594;1950;Bus;Williamsburgh;Jamesborough
6008;2027;Tren;Fosterhaven;West Barbara
995;3180;Tren;South Crystalland;North Paulmouth
4919;2191;Barco;East Stephenfurt;Porterstad
900;4350;Bus;West Barbara;New Angela
7327;128;Barco;Huntview;Kathleenbury
4112;4685;Bus;South Kenneth;East Jessicafurt
9290;3600;Barco;North Paulmouth;East Christopherstad
1780;1160;Barco;Huntview;Lake Dwayne
2587;471;Taxi;East John;Johnsonhaven
8181;4049;Barco;Martinezbury;New Angela
409;1621;Barco;East Jessicafurt;Lake Maria
657;2864;Taxi;South Kenneth;New Danielberg
1960;246;Tren;North Brittanychester;Porterstad
8774;1386;Taxi;New Stevenville;East Stephenfurt
2375;3220;Taxi;West Matthew;East Joelborough
2602;509;Tren;Bellland;Myerston
6861;4075;Taxi;East Joelborough;Lake Williamfort
6666;2493;Taxi;New Stevenville;Lake Amyberg
8412;1339;Tren;Jamesborough;Port Michael
3346;813;Tren;Whitemouth;North Paulmouth
2672;2888;Taxi;Johnsonhaven;Sanchezview
2886;3291;Tren;North Paulmouth;East Stephenfurt
795;2662;Tren;North Jesse;East Christopherstad
1216;2896;Taxi;Myerston;East Jessicafurt
3310;2331;Taxi;East Stephenfurt;Martinezbury
1947;1117;Taxi;Kathleenbury;Myerston
4644;1458;Bus;East Christopherstad;West Barbara
8347;2069;Bus;South Norman;Morrisberg
1079;1185;Bus;Johnsonhaven;Mccoybury
8985;2566;Tren;Kathleenbury;North Jesse
2216;2408;Bus;Rhodesmouth;Sanchezview
6541;1117;Barco;Myerston;West Matthew
6880;4027;Taxi;Lake Maria;New Stevenville
6111;2053;Tren;Bellland;West Barbara
741;577;Taxi;New Stevenville;Kathleenbury
2453;4266;Tren;Fosterhaven;Jamesborough
1208;1956;Tren;East Jordan;Fosterhaven
2025;3904;Taxi;Harpershire;North Jesse
1819;2888;Taxi;Judithburgh;Kathleenbury
9525;4796;Taxi;Jamesborough;Lake Williamfort
8237;3368;Tren;Rhodesmouth;Scottfurt
9262;2499;Barco;New Danielberg;West Matthew
4951;3289;Tren;East Jordan;East Jessicafurt
462;4869;Bus;Guerrerofort;Whitemouth
3452;4698;Tren;North Jesse;North Jesse
1807;967;Barco;Lake Alvin;Lake Maria
9485;1836;Bus;North Jesse;South Norman
9793;615;Bus;Sanchezview;East Christopherstad
7352;2792;Bus;Lake Dianashire;North Jesse
3154;7;Bus;North Jesse;East John
4332;1070;Barco;West Matthew;North Zacharyland
5471;3779;Tren;Rhodesmouth;New Angela
5146;471;Taxi;Lake Dianashire;Guerrerofort
595;1633;Taxi;Port Michael;Lake Dianashire
8189;2689;Tren;Rhodesmouth;North Paulmouth
5083;2201;Tren;Huntview;East John
6342;965;Bus;North Brittanychester;East Jordan
2718;4333;Bus;East Joelborough;South Kenneth
5802;2841;Tren;North Paulmouth;North Zacharyland
8805;2984;Tren;East Stephenfurt;Lake Williamfort
5871;3609;Barco;Huntview;Lake Maria
659;4813;Barco;Huntview;Morrisberg
4805;4760;Taxi;Lake Dwayne;East John
260;1742;Taxi;Scottfurt;Williamsburgh
2012;4432;Tren;West Barbara;Arroyoside
